XDIP YDIP ZDIP RDIP
-7.09263696 -1.0041479 2.88595485 7.72285876
2.28136472 -4.33609461 -5.71971636 7.53136752
0.68651879 -6.73494914 4.33412854 8.03837783
5.91171865 -3.83347028 -3.47982799 7.858315
5.77432985 4.50490966 2.04515165 7.60392935
0.724926951 -2.87405426 -6.32643759 6.98638101
4.8731253 -4.21144478 -3.59965853 7.37842523
3.42900201 7.21689757 0.154875874 7.99159883
-6.8356451 4.11650958 -1.21510768 8.07144236
2.23551823 -2.57243268 -7.77327184 8.48756188
-3.74853064 3.56327774 -2.89947926 5.92919979
4.22059457 5.68670027 2.76428699 7.60218791
-4.30357898 -0.377024357 5.64105008 7.10523647
-1.45805872 -1.18033862 6.95053965 7.19924551
0.458133055 7.10620776 -1.78430327 7.34110433
-2.73932233 6.45955273 -4.50664696 8.33903922
-3.05145791 -3.73308247 -5.53342777 7.3393544
7.56506253 1.34693847 0.497358367 7.70011556
0.260748343 0.977826919 7.72720083 7.79318727
-2.88291268 -6.39824198 1.05215043 7.09617549
4.57721185 -5.06943233 -1.91227046 7.09272802
5.51901981 1.36159761 1.02581222 5.7763153
2.17602791 -4.87593809 -4.11964402 6.74398522
-1.86472981 7.73381699 1.42878211 8.08273226
3.21678023 4.85625544 -3.72214271 6.91268676
-1.44444673 6.08110785 -5.03616273 8.0267823
2.46178691 -6.715542446E-02 -4.98943405 5.5641133
-3.35183846 -1.39034233 -6.39183108 7.35005969
-3.77303302 1.90282162 6.78846857 7.99623748
-6.53876935 1.95741581 2.861326192E-02 6.82552562
3.88112626 3.18364216 5.32770608 7.32005263
-4.13630452 3.93320651 -3.77618166 6.84387876
4.96268425 -3.11489867 -1.6655809 6.09138641
-1.39173192 -3.44753924 6.56857755 7.54775831
-5.96361618 4.44424919 -1.4679569 7.58096077
-5.35277443 -1.84047714 -3.85786634 6.85001335
1.65193703 7.60514899 1.79399018 7.98658799
5.86878953 4.07209792 -3.54456251 7.97424576
5.8760487 3.87981361 -2.23588929 7.38783479
-2.02462673 0.169096978 6.62059733 6.92531705
-1.22142198 0.910477048 7.24354161 7.40200886
-3.89048597 2.70962352 4.00622386 6.20707421
-6.21473786 2.58591011 0.825890102 6.78173962
-7.04521026 -1.78576606 -3.47484538 8.05596043
-7.27764095 2.92090648 -1.86773776 8.06127762
-0.137090882 -1.82421623 5.24355396 5.55350492
-7.45532657 3.22950681 -1.35969225 8.23774068
-1.4756322 -5.12393994 4.80859229 7.18016787
-2.53347377 1.2179251 6.43952023 7.02632561
6.09495318 3.0828926 1.19109176 6.93335277
1.32562811 0.309534845 6.60506478 6.74388482
-7.37005589 1.65892842 0.642538327 7.58172954
6.31250135 -4.15671575 -0.966357937 7.6196986
-5.63004436 2.84471032 -5.0813184 8.09997364
-0.745288449 -7.82467762 1.14390058 7.94289262
6.01637753 -2.49793905 4.12713989 7.7116653
-4.38709859 -2.00490371 -6.62595489 8.19570321
-6.6597243 -4.39694989 1.01400722 8.04445814
-6.89798449 1.56925316 -2.60044487 7.53704577
1.86926897 -5.95502255 -4.32222291 7.59197411
-4.59260275 4.91292722 0.895822404 6.78464087
-5.48375004 5.55875553 -1.19800044 7.89977738
-0.782778429 1.88152496 -5.52735295 5.89105329
1.76257763 7.66440443 2.15448503 8.15423699
-1.2445013 1.32396447 4.69630965 5.03557243
-1.56903467 5.97018465 3.42991646 7.06181999
-5.4384905 -0.681412582 5.96226358 8.09877083
4.0363703 -3.24290843 -6.01797531 7.93881396
-0.41658279 -6.3067484 4.20075412 7.58913379
3.69531842 -6.56641044 2.43650902 7.91894567
1.30882335 -5.7525695 -1.64133136 6.12364622
-6.95789661 2.13689821 1.35456919 7.40361512
7.11340651 2.51895091 2.39993623 7.91867159
-5.79438699 -0.674592265 5.46897872 7.99623183
5.89201545 -1.29412418 3.89914344 7.182891
-0.166846069 -5.694377 -4.20114362 7.07837373
2.74974882 6.19090965 3.26246112 7.51878537
-7.35165196 -1.64053507 2.79231307 8.0333775
1.84388526 -4.59499482 -5.18158605 7.16677922
2.47837278 -5.78369524 4.31595419 7.63026362
5.5961846 -3.70073866 -4.74451827 8.21725029
6.05043483 3.04032092 2.73615573 7.30327742
0.341324933 -3.25044184 -6.25855491 7.06055128
4.1742722 -4.59823409 -3.59475923 7.17569502
3.19351831 7.3692847 0.225000954 8.03464633
-6.60708594 3.35142746 0.334543298 7.41603464
2.68359253 -2.54234149 -6.84887021 7.7828139
-4.44967353 3.98485079 -1.7728668 6.23070518
4.15289032 5.65659552 3.07531544 7.66166665
-5.87723896 -0.340137405 5.07964841 7.7756324
-1.47058408 -0.470675241 7.29602307 7.45762062
0.928160286 7.09339129 -0.404007369 7.1652567
-1.68880702 6.3939881 -5.54632307 8.63115592
-1.9667585 -5.78930662 -2.31316242 6.53719592
7.40642239 1.79215862 -0.312946327 7.62658906
0.491678326 0.990082504 8.15062943 8.22525203
-2.90406074 -5.98646782 2.08180851 6.97174959
3.98022803 -4.13240642 -2.80388305 6.38598137
5.61330491 2.08051361 1.69906215 6.22290456
4.54482118 -2.87086555 -4.08221337 6.7499433
-0.54644905 7.29505499 1.22205256 7.41686229
3.60584483 5.01129548 -3.58227139 7.1377775
-2.38461039 5.11521904 -4.34187989 7.12065682
2.49804738 0.426602206 -5.85810589 6.38276075
-0.557432017 -1.1825315 -7.11463414 7.23374939
-3.48539405 1.77805358 7.61311265 8.55972724
-7.06095278 2.02196478 2.13876813 7.64981861
3.50504981 3.4358312 5.75880862 7.56664965
-3.19021309 4.49472096 -4.57286873 7.16178082
6.05311822 -3.27722157 -1.06625866 6.96543817
-1.8058972 -3.1062775 6.16339391 7.13425883
-5.96212675 4.864694 -0.916213646 7.7493
-4.9275473 -1.4288293 -3.80168158 6.38553509
1.10695363 8.10970341 0.942147936 8.23894887
5.88032075 3.2256566 -4.15662813 7.89053801
6.1484029 3.94804556 -2.11000315 7.60539514
-2.05898553 0.754243976 6.73137065 7.07952373
-0.51758226 1.2961189 7.47039784 7.59964864
-4.60420021 4.20621424 3.21933845 7.01819335
-7.01326899 3.06106364 -1.25379741 7.75422855
-6.60874862 -2.36522408 -2.89896426 7.59432927
-7.6531202 1.54663866 -2.01643366 8.06401542
2.09370757 -1.40277359 4.87401978 5.48702597
-7.02833555 4.23804326 -1.03528 8.27226184
