XDIP YDIP ZDIP RDIP
1.59653682 1.14175054 6.39846162 6.69274497
0.113436107 2.00433387 7.14072909 7.41756253
-2.55434192 0.962062526 5.12833059 5.80947516
-5.11546914 3.24761319 -1.44871843 6.23007231
-5.71812126 -1.67151837 -3.17689548 6.75155903
-5.57986835 3.26923567 -3.30574367 7.2629728
-0.307750974 -2.78106913 7.41699446 7.92722291
-7.40290238 3.61895739 -1.43781268 8.36463517
-0.459288245 -6.41393699 3.33627391 7.24432585
-3.92386426 -0.76253489 5.84602367 7.08196039
4.65642572 3.62235373 1.79451858 6.16636392
4.43065183 -3.92252933 5.12057042 7.82541714
-6.99119622 3.03392694 1.97841393 7.87373221
5.80800974 -3.69248205 -0.689736325 6.91687336
-4.52822585 2.5002831 -5.23091431 7.35654195
-1.53662773 -7.57754064 -2.63858912 8.16960828
6.11016164 -2.73894497 1.69092372 6.9061652
-6.9713337 -2.03872494 -3.61879692 8.11489889
-4.7531992 -4.02615186 6.06603744 8.69480372
-7.36644842 0.85363296 -1.13080818 7.5014651
-0.128583647 -6.24055195 -4.84367426 7.90077229
6.52171684 3.09753024 2.47009175 7.63078223
-4.4878529 5.92969826 0.438894258 7.44948141
-3.1387978 -1.19741858 -6.31394817 7.15204896
0.29773013 6.30529702 2.42749085 6.76299678
3.50312655 2.27424037 6.80870047 7.98764465
-3.52930715 4.13815664 3.3585769 6.39221309
-6.32582304 0.861838209 4.61491602 7.87757908
-1.39203853 -1.3565671 -6.72210497 6.99748103
-5.3664257 -2.75360346 2.42238919 6.49990971
3.2639159 -6.19986546 2.42542573 7.41445673
4.7895395 -5.18089281 -1.24323592 7.16428465
-2.11704625 5.45750582 4.10754103 7.15109418
3.69072224 -4.02948255 -0.199719704 5.46791078
-3.84160031 6.3440155 2.3552207 7.78148381
4.61603269 0.21489759 6.12378157 7.67167775
-5.36998172 -4.32837101 -4.43004345 8.19736447
0.241389574 4.12126501 4.18244906 5.8767316
-7.1217724 -3.58920593 3.13303539 8.56842764
-1.71590407 -6.77051784 -4.62355377 8.37624547
2.52186403 -3.61070499 4.91541988 6.59987434
4.15526173 -1.97214588 -4.35351994 6.33314261
3.45240687 6.52864165 1.66079586 7.56971055
2.84531667 -1.14027944 -6.78750249 7.447567
3.14460167 2.01661365 -6.07024968 7.12763505
-0.500179702 6.77179438 3.15706909 7.48828846
5.33713975 3.78027397 1.66739401 6.74949886
-6.46268992 -1.96158267 9.563690474E-02 6.75450324
2.2734673 6.03737268 0.212914927 6.45475447
-1.38801928 7.64903245 -0.135312853 7.7751273
-6.899912 -0.574158709 -2.7991304 7.46817078
2.06217812 -3.98019563 6.89072388 8.22049947
-4.08436974 1.59890043 -4.81856946 6.51591669
-0.335586726 5.55421046 -5.36055215 7.72640872
-1.5305959 -7.29544231 -2.97638145 8.02652159
7.48614681 0.577141547 -3.85004098 8.43790862
-1.95341276 1.44199543 7.94019837 8.30312726
-3.23962951 -5.34165419 3.96550505 7.39957425
5.81084769 -5.13116801 -2.30757219 8.08824613
7.93357687 2.79550141 1.57957011 8.55870971
5.71252082 -4.37000815 -1.22550062 7.29600693
2.46686754 7.44377343 -1.65743508 8.01512879
2.94357828 5.12698575 -4.3677013 7.35033677
-5.68302727 3.22774835 -2.84113438 7.12651408
2.45244319 -0.539517091 -6.62932636 7.08897202
-2.10080962 1.16213656 -6.92795623 7.33215793
-5.04081108 -3.00938683 2.1470365 6.251076
-8.27288169 0.465385468 -0.476318738 8.29964063
4.78568078 2.96207323 3.93943633 6.86991826
-5.69569255 3.8399128 -1.67398715 7.07022467
3.74062162 -5.26204241 -1.29678498 6.58505821
-1.92863555 -2.41811265 5.51617065 6.32416338
-4.95718702 2.59247056 1.19859676 5.72112235
-6.06100986 -2.33781106 -3.56752813 7.41137356
7.46384133 2.33452706 -1.90156138 8.04828427
6.68040707 2.12754302 -3.87582433 8.01101068
6.86607585 3.05479425 -2.95244333 8.07413693
-0.783158198 0.924909294 7.03085836 7.13454717
-1.27077824 1.38118174 6.70269309 6.96050536
-3.64283518 2.53281672 4.74234105 6.49424417
-4.93960951 2.78643931 -0.832470221 5.73210196
-5.13989312 -0.349879664 -2.5120506 5.73160669
-5.96704517 2.44815564 -3.42485325 7.30265116
-2.341314 -1.00338269 7.13894769 7.57978246
-6.62464673 2.03862737 -2.11983321 7.24814726
-1.4439878 -5.31997276 5.31025456 7.65415014
-3.92718021 -0.720168002 4.643568 6.12405994
5.35165146 3.79352106 0.900391615 6.62130504
2.40532967 -5.51321312 4.21835594 7.34681268
-7.60330481 2.81411767 1.45514519 8.236926
5.87480059 -1.14103309 -2.40614287 6.45017534
-5.07868701 1.88315556 -3.19447127 6.2884007
-1.72669513 -6.61327894 -2.79882687 7.38582197
3.75262979 2.67414185 6.01513725 7.57727795
-7.10604351 -2.85627265 -3.26346661 8.32492415
-4.31566512 -3.32750761 5.10664304 7.46827125
-6.91226307 2.38138642 -2.01008248 7.58226969
0.553168217 -6.50609281 -4.23718807 7.78389372
1.00307089 6.15945563 -2.03907573 6.56527796
-2.64307779 6.3525175 -0.833968577 6.93078945
-2.46829884 -1.3786525 -6.044573 6.67308359
-0.410641362 6.05908665 3.92906947 7.23316973
5.39953487 2.02258939 3.52890821 6.76010634
-3.16570385 5.33621734 3.90910622 7.33334902
-5.73597968 -0.21411389 4.97247619 7.59426278
-1.31230809 -5.78209883 -3.12166286 6.70071626
-2.83954631 -3.54879111 5.76672281 7.34248143
2.46895615 -6.05163559 1.63954723 6.73840878
5.01756634 -5.03250475 -0.539718848 7.12694692
